Index,epochs,staleness,lr,b1,b2,zdim,pos_enc_L,scheduler,num_Z_samples,gamma,step,z_scale,architecture,depth,width,injection_depth,injection_width,one_vec,num_points,t_range,num_curves
1,2500,2,0.0008,0.85,0.999,30,6,True,100,0.9,1000,100,regular,4,500,2,500,20,20,"[-0.05, 0.05]",20
2,2500,2,0.0008,0.85,0.999,30,6,True,100,0.9,1000,100,regular,4,2000,2,500,20,20,"[-0.05, 0.05]",20
3,2500,2,0.0008,0.85,0.999,30,6,False,100,0.9,1000,100,regular,4,500,2,500,20,20,"[-0.05, 0.05]",20
4,2500,2,0.0008,0.85,0.999,30,6,False,100,0.9,1000,100,regular,4,2000,2,500,20,20,"[-0.05, 0.05]",20
5,2500,2,0.0008,0.85,0.999,30,6,True,100,0.9,1000,100,regular,4,500,2,2000,20,20,"[-0.05, 0.05]",20
6,2500,2,0.0008,0.85,0.999,30,6,True,100,0.9,1000,100,regular,4,2000,2,2000,20,20,"[-0.05, 0.05]",20
7,2500,2,0.0008,0.85,0.999,30,6,False,100,0.9,1000,100,regular,4,500,2,2000,20,20,"[-0.05, 0.05]",20
8,2500,2,0.0008,0.85,0.999,30,6,False,100,0.9,1000,100,regular,4,2000,2,2000,20,20,"[-0.05, 0.05]",20
9,2500,2,0.0008,0.85,0.999,30,6,True,100,0.9,1000,100,regular,4,500,4,500,20,20,"[-0.05, 0.05]",20
10,2500,2,0.0008,0.85,0.999,30,6,True,100,0.9,1000,100,regular,4,2000,4,500,20,20,"[-0.05, 0.05]",20
11,2500,2,0.0008,0.85,0.999,30,6,False,100,0.9,1000,100,regular,4,500,4,500,20,20,"[-0.05, 0.05]",20
12,2500,2,0.0008,0.85,0.999,30,6,False,100,0.9,1000,100,regular,4,2000,4,500,20,20,"[-0.05, 0.05]",20
13,2500,2,0.0008,0.85,0.999,30,6,True,100,0.9,1000,100,regular,4,500,4,2000,20,20,"[-0.05, 0.05]",20
14,2500,2,0.0008,0.85,0.999,30,6,True,100,0.9,1000,100,regular,4,2000,4,2000,20,20,"[-0.05, 0.05]",20
15,2500,2,0.0008,0.85,0.999,30,6,False,100,0.9,1000,100,regular,4,500,4,2000,20,20,"[-0.05, 0.05]",20
16,2500,2,0.0008,0.85,0.999,30,6,False,100,0.9,1000,100,regular,4,2000,4,2000,20,20,"[-0.05, 0.05]",20
17,2500,2,0.0008,0.85,0.999,30,6,True,100,0.9,1000,100,regular,6,500,2,500,20,20,"[-0.05, 0.05]",20
18,2500,2,0.0008,0.85,0.999,30,6,True,100,0.9,1000,100,regular,6,2000,2,500,20,20,"[-0.05, 0.05]",20
19,2500,2,0.0008,0.85,0.999,30,6,False,100,0.9,1000,100,regular,6,500,2,500,20,20,"[-0.05, 0.05]",20
20,2500,2,0.0008,0.85,0.999,30,6,False,100,0.9,1000,100,regular,6,2000,2,500,20,20,"[-0.05, 0.05]",20
